horizon,mse,rmse,mae,mape,mdape,smape,coverage
58 days,349.47734894669657,18.6943132782859,12.9212732284526,0.2502715786878479,0.18056285217607426,0.2424052408649077,0.3322610294117647
59 days,349.9743219761262,18.70760064722695,12.935917499285312,0.2513667191791972,0.18056285217607426,0.24332547713932115,0.3344088022605737
60 days,352.1248198535684,18.764989204728266,12.940743169544824,0.2515512968454211,0.17892959587652824,0.2434443267973505,0.33883537919299955
61 days,352.36323378623496,18.7713407562229,12.945618844275236,0.2517668115171744,0.17885618315002585,0.24395824561068286,0.34014217720283135
62 days,354.5149003610633,18.828566072886787,12.988414979179632,0.253632146982394,0.1785391629977358,0.24514053148040002,0.3373714760800586
63 days,355.1368456576975,18.845074838208987,12.974237453925776,0.25430953259022776,0.1778022018405115,0.24500807313664713,0.3411331733106466
64 days,358.5038289514433,18.934197341092737,13.017613247491223,0.2554953780914141,0.17738881047363814,0.24608156617698937,0.34196113879436074
65 days,359.9931129660323,18.97348447086176,13.051942217876874,0.2557352462528733,0.17699189748987154,0.24714000450687407,0.34235594080728526
66 days,362.4172759677126,19.037260201187372,13.088719105231391,0.2566548051661807,0.17804646692390355,0.24823200747021204,0.3468200036162006
67 days,365.84918308793135,19.127184400426827,13.117917268477555,0.2568331696861466,0.1788445557606979,0.24845700159904963,0.3520032244455159
68 days,367.5675965766418,19.172052487322315,13.170266272400724,0.25764171609537,0.1803309536105825,0.2496730259333285,0.3511556774349084
69 days,370.15987807522475,19.23953944550713,13.230330843298931,0.25913720150024255,0.18269601341437294,0.25080050378719015,0.34822342702903947
70 days,375.4546930878482,19.376653299469655,13.306058059787885,0.26045946923114305,0.1846469327240907,0.25153419040960434,0.35047732328225406
71 days,376.78489528429395,19.410947820348547,13.335946671702013,0.26162609901267875,0.18726169231318376,0.2526458500763079,0.3520408163265306
72 days,376.1756646807268,19.395248507836314,13.378758723842012,0.26267980542755137,0.18907110803122731,0.254250827137288,0.34968979779411763
73 days,376.0203349774877,19.391243770771585,13.393572796103022,0.2628844991809219,0.1911147053219509,0.254858428449659,0.34866462080700045
74 days,377.97559778230266,19.441594527772217,13.43772812583251,0.2634864641906556,0.19268407612301086,0.25574636242943755,0.3513925005978001
75 days,378.85672551963546,19.464242228240877,13.484117472681628,0.26430647269428303,0.19371770610882905,0.25651838420856954,0.3474769099713056
76 days,379.09436389078365,19.47034575683708,13.521404878533405,0.2650295145245081,0.1947192988465699,0.25720351047475987,0.3454299639980474
77 days,380.69225331587745,19.511336533304874,13.536882656414594,0.2650702048487907,0.19481347096870572,0.2568968984225903,0.3489424426409568
78 days,379.07647545848647,19.46988637507899,13.5431124934413,0.26519732792611483,0.19464221375257584,0.257775886480112,0.3500081098615917
79 days,378.5215700053194,19.455630804610767,13.57473832248915,0.26660107185699006,0.19481347096870572,0.2593085427900672,0.3509522661523626
80 days,380.96454252743115,19.51831300413617,13.638493154099342,0.2681964583647927,0.19649286229774354,0.2607479682015752,0.34771113658013814
81 days,386.7457759795978,19.66585304479818,13.732332355125877,0.27035461825360557,0.1973905953151061,0.2625915292206759,0.34602681840371
82 days,389.3707329545358,19.732479138581038,13.80284870100595,0.27276817233213535,0.19899985576133783,0.26452290685810587,0.3437250030765444
83 days,390.895958286332,19.77108895044307,13.830673563971422,0.27334607609706874,0.2018980318906157,0.265032410700871,0.3455844372873116
84 days,391.54444035117604,19.787481910318352,13.820970987340825,0.27286501248525924,0.20167021739635863,0.2647766948147026,0.3509014133317261
85 days,393.21383215241565,19.829620070803568,13.859209249035107,0.27387329606626964,0.20201038317898823,0.2662191419491972,0.35391656662665066
86 days,394.8617998358386,19.8711298077346,13.921905380840476,0.2756126623548728,0.20293039712249716,0.2681117763028136,0.3546186607358993
87 days,399.04657118798866,19.97615005920782,13.994821812142897,0.2775998309786618,0.20390909838841376,0.26962967762661,0.3575594589687727
88 days,401.531091560742,20.03824073018243,14.03270354789619,0.2785765482544229,0.20569060591062738,0.27075394508638695,0.36001800411522633
89 days,402.6434045473265,20.065976291905823,14.069555536965257,0.2789865150105431,0.207523578359777,0.27173086445741346,0.36443014705882354
90 days,402.973968005025,20.074211516396478,14.05844108092447,0.2784685844938566,0.20719627851048675,0.27145397693805906,0.3717717411038489
